LGA,Population,Year,Number of Deaths,Total Deaths,"DeathsPer100k"
GLEN EIRA,161057,2022,0,1,0
GLENELG,20007,2022,0,1,0
GOLDEN PLAINS,26337,2022,0,1,0
GREATER BENDIGO,125805,2022,0,6,0
GREATER DANDENONG,167298,2022,5,20,2.99
GREATER GEELONG,289565,2022,3,12,1.04
GREATER SHEPPARTON,69874,2022,4,9,5.72
HINDMARSH,5464,2022,0,1,0
HOBSONS BAY,95633,2022,0,5,0
HORSHAM,20376,2022,0,2,0
HUME,271709,2022,2,18,0.74
INDIGO,17788,2022,0,2,0
KINGSTON,166521,2022,1,9,0.6
KNOX,163302,2022,0,6,0
LATROBE,78845,2022,0,6,0
LODDON,7755,2022,0,1,0
MACEDON RANGES,53738,2022,0,2,0
MANNINGHAM,131761,2022,1,3,0.76
MANSFIELD,10782,2022,0,1,0
MARIBYRNONG,94251,2022,0,5,0
MAROONDAH,119354,2022,0,1,0
MELBOURNE,189381,2022,5,18,2.64
MELTON,219697,2022,0,3,0
MILDURA,57626,2022,1,4,1.74
MITCHELL,56384,2022,0,5,0
MOIRA,30836,2022,0,3,0
MONASH,209268,2022,3,12,1.43
MOONEE VALLEY,129732,2022,0,3,0
MOORABOOL,39814,2022,2,4,5.02
MORNINGTON PENINSULA,171450,2022,1,6,0.58
MOUNT ALEXANDER,20799,2022,0,1,0
MOYNE,17717,2022,0,3,0
MURRINDINDI,15603,2022,1,6,6.41
NORTHERN GRAMPIANS,11808,2022,0,1,0
PORT PHILLIP,112669,2022,1,4,0.89
PYRENEES,7958,2022,0,2,0
SOUTH GIPPSLAND,31022,2022,0,5,0
SOUTHERN GRAMPIANS,16525,2022,0,1,0
STONNINGTON,114038,2022,2,2,1.75
STRATHBOGIE,11739,2022,2,2,17.04
SURF COAST,39928,2022,0,1,0
SWAN HILL,21094,2022,1,1,4.74
TOWONG,6237,2022,0,2,0
WANGARATTA,30169,2022,0,2,0
WARRNAMBOOL,36150,2022,0,2,0
WELLINGTON,46533,2022,4,5,8.6
WEST WIMMERA,3913,2022,0,1,0
WHITEHORSE,183462,2022,1,9,0.55
WHITTLESEA,253204,2022,5,13,1.97
WODONGA,44824,2022,0,4,0
WYNDHAM,337009,2022,1,9,0.3
YARRA,100706,2022,1,9,0.99
YARRA RANGES,160137,2022,2,9,1.25

